Student ID,First Name,Last Name,hours,final_score
STU_0206,Neha,Kumar,13.6,84.1
STU_0207,Neha,Joshi,12.1,85.4
STU_0208,Priya,Joshi,26.9,65.2
STU_0209,Pooja,Chouksey,6.2,57.8
STU_0210,Priya,Mishra,7.8,68.2
STU_0211,Priya,Chouksey,5.2,45.6
STU_0212,Neha,Patel,9.6,42.8
STU_0213,Anjali,Gupta,7.1,46.7
STU_0214,Neha,Kumar,34.9,51.2
STU_0215,Karan,Gupta,13.7,70.3
STU_0216,Rahul,Sharma,9.5,90.9
STU_0217,Deepak,Patel,12.2,54.1
STU_0218,Anjali,Singh,33.1,96.1
STU_0219,Amit,Sharma,20.6,97.3
STU_0220,Deepak,Sharma,15.9,97.5
STU_0221,Rahul,Verma,31.2,90.3
STU_0222,Karan,Kumar,16.8,61.8
STU_0223,Karan,Chouksey,15.1,44.4
STU_0224,Amit,Mishra,11.2,74.1
STU_0225,Anjali,Gupta,16.3,73.5
STU_0226,Pooja,Sharma,14.5,91.0
STU_0227,Priya,Gupta,25.3,99.8
STU_0228,Anjali,Gupta,13.7,70.5
STU_0229,Pooja,Singh,22.3,60.7
STU_0230,Karan,Kumar,7.0,51.2
STU_0231,Neha,Kumar,10.7,40.3
STU_0232,Rahul,Yadav,17.2,70.5
STU_0233,Amit,Joshi,33.1,73.3
STU_0234,Rahul,Kumar,16.3,89.5
STU_0235,Sagar,Gupta,24.9,70.3
STU_0236,Sagar,Chouksey,12.7,95.0
STU_0237,Anjali,Gupta,8.8,77.7
STU_0238,Karan,Chouksey,6.8,90.4
STU_0239,Karan,Yadav,14.2,48.9
STU_0240,Priya,Chouksey,9.7,91.3
STU_0241,Priya,Kumar,10.2,80.5
STU_0242,Priya,Singh,27.8,50.2
STU_0243,Neha,Chouksey,5.5,51.4
STU_0244,Deepak,Gupta,21.7,95.6
STU_0245,Rohit,Mishra,16.4,41.9
STU_0246,Deepak,Kumar,20.2,67.8
STU_0247,Rahul,Mishra,21.9,58.8
STU_0248,Deepak,Patel,14.4,79.9
STU_0249,Neha,Patel,13.9,90.4
STU_0250,Rahul,Gupta,27.0,61.6
STU_0251,Deepak,Patel,31.1,65.6
STU_0252,Neha,Joshi,10.8,98.9
STU_0253,Rohit,Yadav,7.9,87.0
STU_0254,Deepak,Kumar,31.9,93.8
STU_0255,Neha,Mishra,15.5,66.3
STU_0256,Priya,Gupta,21.5,54.0
STU_0257,Karan,Joshi,15.8,64.7
STU_0258,Priya,Gupta,8.8,83.0
STU_0259,Karan,Joshi,22.7,46.6
STU_0260,Amit,Patel,20.8,56.2
STU_0261,Amit,Patel,11.1,42.8
STU_0262,Amit,Chouksey,18.6,65.9
STU_0263,Rohit,Verma,28.9,89.6
STU_0264,Priya,Gupta,22.7,41.5
STU_0265,Karan,Chouksey,7.9,80.5
STU_0266,Neha,Kumar,21.4,95.9
STU_0267,Rahul,Chouksey,26.1,54.2
STU_0268,Neha,Sharma,28.8,81.6
STU_0269,Rahul,Patel,23.9,98.5
STU_0270,Sagar,Sharma,9.6,97.7
STU_0271,Neha,Gupta,26.3,54.1
STU_0272,Deepak,Mishra,25.3,46.0
STU_0273,Deepak,Mishra,5.7,48.9
STU_0274,Anjali,Kumar,17.4,82.1
STU_0275,Priya,Chouksey,15.0,83.5
STU_0276,Rahul,Mishra,25.1,80.5
STU_0277,Rahul,Joshi,11.5,60.2
STU_0278,Priya,Joshi,22.7,50.2
STU_0279,Rohit,Kumar,32.4,74.8
STU_0280,Anjali,Yadav,28.9,69.0
STU_0281,Rohit,Patel,32.6,83.7
STU_0282,Rohit,Chouksey,34.4,66.5
STU_0283,Rohit,Gupta,5.3,60.3
STU_0284,Priya,Singh,23.7,57.6
STU_0285,Rohit,Singh,17.4,52.7
STU_0286,Deepak,Singh,30.8,55.9
STU_0287,Amit,Mishra,12.6,45.7
STU_0288,Sagar,Yadav,34.4,60.8
STU_0289,Rahul,Yadav,23.4,42.2
STU_0290,Rahul,Chouksey,28.8,51.2
STU_0291,Sagar,Chouksey,7.6,84.8
STU_0292,Priya,Yadav,10.5,59.5
STU_0293,Neha,Kumar,27.8,80.1
STU_0294,Priya,Chouksey,5.7,83.0
STU_0295,Rahul,Kumar,29.5,74.9
STU_0296,Rahul,Sharma,5.4,97.5
STU_0297,Sagar,Joshi,24.7,41.3
STU_0298,Rohit,Patel,16.0,84.3
STU_0299,Priya,Chouksey,23.3,97.5
STU_0300,Karan,Yadav,25.9,91.7
STU_0301,Sagar,Joshi,15.3,50.1
STU_0302,Deepak,Joshi,8.2,59.6
STU_0303,Rahul,Verma,7.1,50.3
STU_0304,Sagar,Yadav,22.7,76.1
STU_0305,Priya,Patel,20.6,82.7
STU_0306,Rahul,Yadav,27.3,59.0
STU_0307,Neha,Chouksey,20.3,72.4
STU_0308,Sagar,Gupta,17.7,81.5
STU_0309,Anjali,Sharma,16.9,65.3
STU_0310,Rahul,Kumar,5.8,91.2
STU_0311,Priya,Gupta,15.1,86.3
STU_0312,Amit,Sharma,34.3,43.9
STU_0313,Karan,Gupta,31.2,77.3
STU_0314,Pooja,Kumar,14.9,54.1
STU_0315,Rohit,Mishra,22.6,73.5
STU_0316,Pooja,Yadav,30.4,97.4
STU_0317,Priya,Gupta,18.2,92.7
STU_0318,Deepak,Chouksey,5.5,64.3
STU_0319,Deepak,Patel,7.2,57.5
STU_0320,Amit,Singh,20.3,54.1
STU_0321,Rohit,Chouksey,34.1,72.0
STU_0322,Anjali,Kumar,25.8,46.9
STU_0323,Amit,Patel,7.1,73.0
STU_0324,Pooja,Chouksey,10.7,40.1
STU_0325,Amit,Joshi,28.1,59.4
STU_0326,Pooja,Yadav,30.2,53.2
STU_0327,Rahul,Patel,23.5,98.3
STU_0328,Deepak,Joshi,24.3,83.6
STU_0329,Rahul,Chouksey,5.9,61.0
STU_0330,Karan,Sharma,29.9,45.6
STU_0331,Rohit,Verma,28.6,71.0
STU_0332,Anjali,Sharma,12.8,52.8
STU_0333,Pooja,Yadav,26.3,72.2
STU_0334,Anjali,Patel,11.4,90.1
STU_0335,Pooja,Patel,6.2,76.9
STU_0336,Priya,Yadav,11.0,78.0
STU_0337,Amit,Joshi,10.4,72.5
STU_0338,Karan,Verma,15.1,95.6
STU_0339,Deepak,Chouksey,17.6,95.9
STU_0340,Pooja,Kumar,20.3,70.8
STU_0341,Anjali,Sharma,19.3,58.3
STU_0342,Karan,Sharma,13.1,67.6
STU_0343,Neha,Singh,5.9,51.2
STU_0344,Neha,Verma,23.2,78.2
STU_0345,Rahul,Kumar,16.9,70.0
STU_0346,Deepak,Sharma,14.0,46.2
STU_0347,Priya,Kumar,31.0,51.9
STU_0348,Anjali,Chouksey,27.4,68.8
STU_0349,Amit,Patel,30.7,93.3
STU_0350,Amit,Kumar,19.8,74.0
STU_0351,Anjali,Sharma,8.9,80.9
STU_0352,Rohit,Joshi,25.9,60.3
STU_0353,Priya,Verma,11.2,74.3
STU_0354,Karan,Yadav,18.2,66.8
STU_0355,Pooja,Gupta,7.0,79.5
STU_0356,Rohit,Mishra,29.8,43.0
STU_0357,Pooja,Mishra,8.8,69.6
STU_0358,Pooja,Gupta,32.1,57.8
STU_0359,Rohit,Kumar,30.9,59.6
STU_0360,Rahul,Verma,18.9,97.7
STU_0361,Neha,Kumar,27.3,51.0
STU_0362,Pooja,Yadav,23.6,58.7
STU_0363,Rohit,Verma,29.1,70.6
STU_0364,Rohit,Gupta,18.0,91.8
STU_0365,Sagar,Kumar,28.6,65.0
STU_0366,Rahul,Singh,18.9,84.6
STU_0367,Deepak,Sharma,33.2,91.4
STU_0368,Sagar,Joshi,19.6,58.6
STU_0369,Sagar,Patel,18.9,63.6
STU_0370,Anjali,Joshi,28.6,61.4
STU_0371,Neha,Yadav,29.6,90.0
STU_0372,Rohit,Kumar,21.6,42.7
STU_0373,Neha,Chouksey,10.4,58.5
STU_0374,Priya,Verma,19.0,80.8
STU_0375,Anjali,Kumar,34.0,73.9
STU_0376,Deepak,Verma,27.6,66.2
STU_0377,Neha,Patel,29.3,72.4
STU_0378,Amit,Singh,6.0,51.9
STU_0379,Pooja,Joshi,19.0,65.8
STU_0380,Priya,Sharma,24.4,70.1
STU_0381,Rahul,Patel,29.9,94.1
STU_0382,Deepak,Patel,6.5,55.7
STU_0383,Priya,Joshi,30.6,92.1
STU_0384,Pooja,Patel,21.5,78.7
STU_0385,Anjali,Chouksey,10.9,41.2
STU_0386,Pooja,Chouksey,14.5,83.5
STU_0387,Sagar,Mishra,13.5,42.1
STU_0388,Pooja,Mishra,20.9,99.8
STU_0389,Sagar,Chouksey,6.6,92.4
STU_0390,Anjali,Gupta,9.8,57.8
STU_0391,Karan,Singh,29.4,55.4
STU_0392,Sagar,Verma,9.0,62.9
STU_0393,Rahul,Singh,12.0,61.4
STU_0394,Pooja,Yadav,18.6,62.3
STU_0395,Pooja,Patel,20.5,59.1
STU_0396,Rahul,Sharma,27.9,77.3
STU_0397,Amit,Patel,18.4,49.9
STU_0398,Rohit,Singh,28.7,90.8
STU_0399,Karan,Chouksey,23.6,88.7
STU_0400,Deepak,Joshi,8.4,68.6
STU_0401,Sagar,Yadav,9.7,91.2
STU_0402,Rahul,Chouksey,18.1,54.8
STU_0403,Anjali,Singh,16.9,41.1
STU_0404,Sagar,Joshi,27.3,77.2
STU_0405,Rohit,Sharma,22.4,67.5
STU_0406,Anjali,Singh,16.6,74.0
STU_0407,Priya,Verma,10.1,94.0
STU_0408,Pooja,Kumar,11.8,98.2
STU_0409,Priya,Joshi,22.3,78.1
STU_0410,Sagar,Singh,17.7,85.8
STU_0411,Rohit,Chouksey,20.4,45.0
STU_0412,Karan,Verma,10.1,49.6
STU_0413,Sagar,Gupta,24.9,84.0
STU_0414,Rahul,Joshi,30.6,65.9
STU_0415,Neha,Verma,12.7,66.8
STU_0416,Sagar,Chouksey,19.7,58.5
STU_0417,Pooja,Singh,34.3,76.4
STU_0418,Pooja,Patel,15.0,51.1
STU_0419,Sagar,Sharma,22.9,77.6
STU_0420,Anjali,Patel,7.7,50.4
STU_0421,Neha,Kumar,23.2,43.8
STU_0422,Rahul,Verma,7.7,59.8
STU_0423,Sagar,Kumar,33.8,53.9
STU_0424,Anjali,Sharma,26.5,93.3
STU_0425,Pooja,Verma,28.6,43.3
STU_0426,Pooja,Mishra,26.1,50.6
STU_0427,Rohit,Chouksey,22.7,72.9
STU_0428,Sagar,Verma,18.5,68.9
STU_0429,Neha,Chouksey,30.8,42.8
STU_0430,Amit,Patel,33.7,40.4
STU_0431,Neha,Yadav,20.0,99.3
STU_0432,Pooja,Joshi,32.9,79.5
STU_0433,Pooja,Yadav,22.5,61.9
STU_0434,Priya,Singh,21.2,68.2
STU_0435,Pooja,Joshi,18.6,56.0
STU_0436,Rahul,Joshi,11.3,60.7
STU_0437,Deepak,Gupta,5.1,78.9
STU_0438,Sagar,Joshi,12.2,93.0
STU_0439,Neha,Sharma,20.3,51.0
STU_0440,Deepak,Yadav,16.4,90.4
STU_0441,Anjali,Patel,18.5,47.3
STU_0442,Amit,Chouksey,34.4,52.9
STU_0443,Rahul,Singh,15.5,42.2
STU_0444,Neha,Joshi,18.6,48.4
STU_0445,Deepak,Singh,9.0,95.0
STU_0446,Amit,Patel,6.4,67.6
STU_0447,Priya,Singh,28.3,44.7
STU_0448,Rahul,Patel,22.1,97.6
STU_0449,Rahul,Joshi,27.8,92.7
STU_0450,Priya,Patel,9.5,85.3
STU_0451,Sagar,Joshi,22.2,96.0
STU_0452,Priya,Gupta,12.6,53.2
STU_0453,Rahul,Gupta,11.8,90.2
STU_0454,Rahul,Patel,5.3,81.4
STU_0455,Deepak,Gupta,8.9,92.2
STU_0456,Pooja,Chouksey,14.3,87.8
STU_0457,Amit,Chouksey,8.5,60.8
STU_0458,Priya,Gupta,34.6,86.5
STU_0459,Amit,Gupta,14.3,55.7
STU_0460,Priya,Mishra,8.9,59.7
STU_0461,Anjali,Mishra,11.0,46.5
STU_0462,Rahul,Joshi,22.6,96.1
STU_0463,Pooja,Patel,6.9,57.5
STU_0464,Deepak,Kumar,30.9,71.2
STU_0465,Pooja,Kumar,33.8,63.5
STU_0466,Pooja,Gupta,12.4,97.6
STU_0467,Pooja,Singh,18.5,60.1
STU_0468,Amit,Gupta,5.7,86.7
STU_0469,Priya,Mishra,24.2,91.3
STU_0470,Karan,Joshi,17.4,66.1
STU_0471,Anjali,Gupta,13.1,62.7
STU_0472,Neha,Yadav,11.2,84.9
STU_0473,Pooja,Singh,24.6,94.8
STU_0474,Sagar,Yadav,17.5,85.3
STU_0475,Amit,Joshi,10.4,53.6
STU_0476,Deepak,Joshi,25.7,93.3
STU_0477,Neha,Chouksey,22.0,63.3
STU_0478,Karan,Verma,30.8,74.6
STU_0479,Sagar,Yadav,8.5,89.9
STU_0480,Karan,Chouksey,28.6,51.3
STU_0481,Neha,Mishra,25.2,87.1
STU_0482,Pooja,Sharma,8.5,75.8
STU_0483,Sagar,Singh,25.8,93.6
STU_0484,Karan,Sharma,18.2,50.3
STU_0485,Deepak,Patel,33.3,65.2
STU_0486,Priya,Mishra,9.2,90.0
STU_0487,Rahul,Mishra,24.3,41.2
STU_0488,Priya,Sharma,16.5,46.7
STU_0489,Neha,Yadav,33.7,99.4
STU_0490,Amit,Verma,14.9,56.8
STU_0491,Rahul,Yadav,33.9,98.5
STU_0492,Anjali,Sharma,32.0,51.0
STU_0493,Deepak,Patel,13.1,61.7
STU_0494,Anjali,Yadav,29.1,85.2
STU_0495,Sagar,Kumar,34.9,79.5
STU_0496,Rahul,Yadav,12.6,74.9
STU_0497,Anjali,Joshi,18.1,71.8
STU_0498,Anjali,Chouksey,20.6,90.6
STU_0499,Karan,Singh,13.8,54.1
STU_0500,Priya,Yadav,5.5,66.5
STU_0501,Karan,Verma,11.6,49.3
STU_0502,Rahul,Verma,13.5,75.8
STU_0503,Rahul,Yadav,18.3,55.0
STU_0504,Neha,Gupta,10.1,60.0
STU_0505,Karan,Mishra,31.2,68.3
STU_0506,Rohit,Yadav,26.1,41.6
STU_0507,Priya,Mishra,7.6,45.5
STU_0508,Rahul,Kumar,24.5,81.2
STU_0509,Neha,Sharma,24.6,65.7
STU_0510,Karan,Kumar,33.7,91.9
STU_0511,Priya,Yadav,5.1,81.7
STU_0512,Karan,Verma,12.4,40.5
STU_0513,Anjali,Gupta,32.8,77.0
STU_0514,Neha,Patel,33.0,45.6
STU_0515,Priya,Mishra,26.6,86.9
STU_0516,Pooja,Chouksey,28.0,99.5
STU_0517,Sagar,Mishra,7.7,71.9
STU_0518,Sagar,Joshi,20.4,81.0
STU_0519,Priya,Singh,11.9,54.2
STU_0520,Karan,Yadav,10.4,66.3
STU_0521,Neha,Kumar,29.3,91.4
STU_0522,Sagar,Chouksey,9.1,50.0
STU_0523,Neha,Verma,19.1,55.9
STU_0524,Sagar,Verma,33.2,66.7
STU_0525,Anjali,Verma,10.6,82.7
STU_0526,Karan,Patel,34.3,62.6
STU_0527,Anjali,Joshi,34.8,95.7
STU_0528,Sagar,Verma,21.7,45.7
STU_0529,Pooja,Verma,10.1,62.2
STU_0530,Pooja,Yadav,14.5,82.5
STU_0531,Anjali,Joshi,17.7,53.6
STU_0532,Pooja,Gupta,14.3,79.4
STU_0533,Sagar,Gupta,13.4,49.9
STU_0534,Priya,Joshi,34.2,43.4
STU_0535,Anjali,Singh,9.6,47.3
STU_0536,Amit,Patel,27.0,95.8
STU_0537,Karan,Chouksey,5.0,73.1
STU_0538,Pooja,Mishra,22.9,87.8
STU_0539,Pooja,Yadav,32.5,60.0
STU_0540,Rahul,Sharma,13.6,75.6
STU_0541,Rohit,Gupta,10.6,69.7
STU_0542,Anjali,Joshi,24.6,96.7
STU_0543,Deepak,Chouksey,26.4,84.9
STU_0544,Pooja,Joshi,25.6,83.8
STU_0545,Karan,Mishra,14.6,42.8
STU_0546,Amit,Chouksey,12.6,73.0
STU_0547,Pooja,Gupta,33.7,68.0
STU_0548,Amit,Verma,32.7,95.7
STU_0549,Sagar,Joshi,18.7,55.4
STU_0550,Sagar,Sharma,30.4,56.2
STU_0551,Rohit,Gupta,18.6,64.7
STU_0552,Priya,Kumar,17.7,54.6
STU_0553,Deepak,Sharma,9.7,47.8
STU_0554,Rahul,Singh,17.8,91.4
STU_0555,Rohit,Patel,21.1,73.5
STU_0556,Neha,Gupta,5.7,91.7
STU_0557,Rahul,Verma,18.3,89.9
STU_0558,Anjali,Gupta,28.4,56.9
STU_0559,Karan,Mishra,25.4,72.9
STU_0560,Neha,Chouksey,24.1,45.0
STU_0561,Neha,Joshi,32.3,94.9
STU_0562,Rohit,Chouksey,5.5,64.3
STU_0563,Priya,Chouksey,21.7,63.6
STU_0564,Rohit,Gupta,28.6,58.2
STU_0565,Anjali,Mishra,21.2,67.6
STU_0566,Pooja,Joshi,14.7,55.1
STU_0567,Pooja,Joshi,9.1,62.5
STU_0568,Priya,Chouksey,31.6,88.0
STU_0569,Anjali,Singh,19.1,90.1
STU_0570,Priya,Patel,31.3,58.3
STU_0571,Amit,Mishra,22.6,68.1
STU_0572,Pooja,Singh,25.2,92.4
STU_0573,Neha,Yadav,29.1,43.2
STU_0574,Deepak,Yadav,24.8,93.3
STU_0575,Karan,Sharma,16.9,53.2
STU_0576,Anjali,Chouksey,20.4,80.7
STU_0577,Rahul,Joshi,29.1,75.0
STU_0578,Priya,Gupta,16.2,73.2
STU_0579,Karan,Joshi,16.6,91.6
STU_0580,Rahul,Joshi,7.9,46.1
STU_0581,Karan,Verma,32.4,60.8
STU_0582,Deepak,Joshi,7.7,72.3
STU_0583,Rahul,Sharma,24.4,88.7
STU_0584,Rohit,Singh,17.4,53.0
STU_0585,Sagar,Yadav,17.2,88.2
STU_0586,Rohit,Joshi,25.4,64.0
STU_0587,Pooja,Joshi,7.0,51.3
STU_0588,Sagar,Verma,22.8,85.5
STU_0589,Rohit,Mishra,28.2,45.5
STU_0590,Sagar,Gupta,29.8,70.9
STU_0591,Sagar,Mishra,10.1,43.8
STU_0592,Neha,Gupta,31.9,61.4
STU_0593,Priya,Patel,24.7,76.1
STU_0594,Priya,Joshi,31.5,73.4
STU_0595,Neha,Verma,19.6,64.3
